2020-12-06 21:16:29,396 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:29,396 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:29,508 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:29,512 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:29,512 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:29,522 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:29,527 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:29,527 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:29,538 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:29,544 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:29,544 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:29,655 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:29,663 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:29,663 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:29,674 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:29,692 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:29,693 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:29,704 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:29,710 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:29,710 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:29,822 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:29,826 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:29,826 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:29,837 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:29,842 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:29,842 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:29,853 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:29,861 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:29,862 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:29,974 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:29,980 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:29,981 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:29,992 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:29,996 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:29,996 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,008 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:30,021 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:30,023 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,133 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:30,143 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:30,143 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,153 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:30,159 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:30,159 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,170 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:30,176 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:30,176 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,288 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:30,305 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:30,307 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,317 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:30,323 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:30,324 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,334 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:30,340 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:30,343 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,456 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
2020-12-06 21:16:30,462 urllib3.connectionpool DEBUG    http://127.0.0.1:60411 "POST /session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync HTTP/1.1" 200 14
2020-12-06 21:16:30,462 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
2020-12-06 21:16:30,473 selenium.webdriver.remote.remote_connection DEBUG    POST http://127.0.0.1:60411/session/0157078d-8a5a-44d1-a3b7-ccb07ddc1e66/execute/sync {"script": "window.scrollTo(0, document.body.scrollHeight);", "args": []}
